Time,Altitude,Velocity,Temperature (F),Voltage
0.00, 1, 0, 81.30, 7.70
0.05, 2, 7, 81.30, 7.70
0.10, 1, -3, 81.30, 7.70
0.15, 1, 0, 81.30, 7.70
0.20, 1, -1, 81.30, 7.70
0.25, 1, -0, 81.30, 7.70
0.30, 1, 0, 81.30, 7.70
0.35, 1, 1, 81.30, 7.70
0.40, 1, 1, 81.28, 7.70
0.45, 2, 0, 81.28, 7.70
0.50, 1, -1, 81.30, 7.70
0.55, 1, -1, 81.30, 7.70
0.60, 0, -0, 81.30, 7.70
0.65, 2, 0, 81.27, 7.70
0.70, 1, 1, 81.28, 7.70
0.75, 1, 1, 81.30, 7.70
0.80, 1, 1, 81.28, 7.70
0.85, 2, -0, 81.28, 7.70
0.90, 1, 0, 81.30, 7.70
0.95, 1, 5, 81.30, 7.70
1.00, 1, 21, 81.28, 7.70
1.05, 1, 58, 81.30, 7.70
1.10, -1, 121, 81.28, 7.70
1.15, 8, 217, 81.28, 7.70
1.20, 16, 345, 81.30, 7.70
1.25, 47, 497, 81.27, 7.70
1.30, 77, 670, 81.28, 7.70
1.35, 116, 856, 81.28, 7.70
1.40, 173, 1051, 81.30, 7.70
1.45, 234, 1258, 81.30, 7.70
1.50, 301, 1485, 81.28, 7.70
1.55, 387, 1739, 81.30, 7.70
1.60, 481, 2039, 81.30, 7.70
1.65, 598, 2424, 81.30, 7.70
1.70, 719, 2980, 81.30, 7.70
1.75, 878, 3796, 81.30, 7.70
1.80, 1064, 4837, 81.30, 7.70
1.85, 1296, 5959, 81.32, 7.70
1.90, 1656, 7117, 81.32, 7.70
1.95, 2244, 7975, 81.34, 7.70
2.00, 2906, 8380, 81.34, 7.70
2.05, 3172, 8402, 81.32, 7.70
2.10, 3251, 7810, 81.32, 7.70
2.15, 4270, 6689, 81.34, 7.70
2.20, 4426, 5126, 81.34, 7.70
2.25, 4494, 3179, 81.34, 7.70
2.30, 4254, 1039, 81.32, 7.70
2.35, 3963, -917, 81.30, 7.70
2.40, 3854, -2387, 81.30, 7.70
2.45, 3722, -3191, 81.30, 7.70
2.50, 3650, -3318, 81.30, 7.70
2.55, 3592, -2979, 81.30, 7.70
2.60, 3497, -2369, 81.30, 7.70
2.65, 3445, -1873, 81.32, 7.70
2.70, 3371, -1509, 81.30, 7.70
2.75, 3311, -1289, 81.32, 7.70
2.80, 3243, -1240, 81.32, 7.70
2.85, 3183, -1188, 81.34, 7.70
2.90, 3133, -1127, 81.34, 7.70
2.95, 3067, -1067, 81.36, 7.70
3.00, 3032, -1008, 81.34, 7.70
3.05, 2980, -945, 81.36, 7.70
3.10, 2925, -887, 81.36, 7.70
3.15, 2896, -619, 81.36, 7.70
3.20, 2858, -374, 81.36, 7.70
3.25, 2814, -161, 81.37, 7.70
3.30, 2788, 44, 81.39, 7.70
3.35, 2742, -189, 81.39, 7.70
3.40, 2721, -383, 81.41, 7.70
3.45, 2702, -529, 81.43, 7.70
3.50, 2642, -671, 81.39, 7.70
3.55, 2649, -593, 81.43, 7.70
3.60, 2631, -535, 81.43, 7.70
3.65, 2598, -499, 81.43, 7.70
3.70, 2602, -463, 81.43, 7.70
3.75, 2570, -428, 81.43, 7.70
3.80, 2539, -395, 81.43, 7.70
3.85, 2528, -361, 81.43, 7.70
3.90, 2521, -329, 81.43, 7.70
3.95, 2507, -298, 81.43, 7.70
4.00, 2497, -269, 81.45, 7.70
4.05, 2476, -241, 81.45, 7.70
4.10, 2498, -215, 81.45, 7.70
4.15, 2502, -192, 81.45, 7.70
4.20, 2494, -168, 81.45, 7.70
4.25, 2476, -144, 81.48, 7.70
4.30, 2470, -121, 81.46, 7.70
4.35, 2477, -100, 81.46, 7.70
4.40, 2468, -81, 81.48, 7.70
4.45, 2475, -65, 81.48, 7.70
4.50, 2466, -50, 81.46, 7.70
4.55, 2458, -38, 81.50, 7.70
4.60, 2472, -26, 81.48, 7.70
4.65, 2474, -13, 81.48, 7.70
4.70, 2483, -1, 81.48, 7.70
4.75, 2471, 14, 81.48, 7.70
4.80, 2478, 28, 81.50, 7.70
4.85, 2489, 40, 81.50, 7.70
4.90, 2500, 51, 81.52, 7.70
4.95, 2509, 60, 81.52, 7.70
5.00, 2512, 66, 81.52, 7.70
5.05, 2519, 73, 81.52, 7.70
5.10, 2520, 78, 81.52, 7.70
5.15, 2519, 83, 81.52, 7.70
5.20, 2539, 89, 81.52, 7.70
5.25, 2558, 95, 81.52, 7.70
5.30, 2560, 101, 81.52, 7.70
5.35, 2566, 106, 81.52, 7.70
5.40, 2571, 111, 81.52, 7.70
5.45, 2571, 115, 81.52, 7.70
5.50, 2566, 119, 81.52, 7.70
5.55, 2577, 122, 81.52, 7.70
5.60, 2577, 125, 81.54, 7.70
5.65, 2582, 128, 81.54, 7.70
5.70, 2597, 130, 81.52, 7.70
5.75, 2616, 132, 81.54, 7.70
5.80, 2607, 134, 81.54, 7.70
5.85, 2623, 134, 81.54, 7.70
5.90, 2625, 134, 81.55, 7.70
5.95, 2620, 134, 81.54, 7.70
6.00, 2643, 134, 81.54, 7.70
6.05, 2644, 134, 81.54, 7.70
6.10, 2652, 134, 81.54, 7.70
6.15, 2665, 133, 81.55, 7.70
6.20, 2669, 131, 81.54, 7.70
6.25, 2676, 129, 81.55, 7.70
6.30, 2680, 128, 81.55, 7.70
6.35, 2686, 128, 81.55, 7.70
6.40, 2693, 129, 81.57, 7.70
6.45, 2697, 131, 81.57, 7.70
6.50, 2710, 132, 81.57, 7.70
6.55, 2710, 134, 81.57, 7.70
6.60, 2723, 135, 81.57, 7.70
6.65, 2729, 137, 81.57, 7.70
6.70, 2740, 137, 81.57, 7.70
6.75, 2741, 137, 81.57, 7.70
6.80, 2753, 138, 81.57, 7.70
6.85, 2765, 138, 81.57, 7.70
6.90, 2761, 137, 81.57, 7.70
6.95, 2773, 137, 81.57, 7.70
7.00, 2779, 136, 81.57, 7.70
7.05, 2789, 135, 81.57, 7.70
7.10, 2789, 134, 81.59, 7.70
7.15, 2791, 132, 81.57, 7.70
7.20, 2800, 132, 81.61, 7.70
7.25, 2811, 131, 81.59, 7.70
7.30, 2814, 130, 81.59, 7.70
7.35, 2825, 129, 81.59, 7.70
7.40, 2822, 129, 81.59, 7.70
7.45, 2825, 127, 81.57, 7.70
7.50, 2835, 126, 81.61, 7.70
7.55, 2844, 125, 81.59, 7.70
7.60, 2856, 124, 81.61, 7.70
7.65, 2863, 123, 81.57, 7.70
7.70, 2874, 122, 81.61, 7.70
7.75, 2882, 121, 81.59, 7.70
7.80, 2891, 119, 81.61, 7.70
7.85, 2892, 118, 81.61, 7.70
7.90, 2897, 118, 81.61, 7.70
7.95, 2899, 117, 81.61, 7.70
8.00, 2906, 117, 81.61, 7.70
8.05, 2919, 117, 81.61, 7.70
8.10, 2917, 117, 81.63, 7.70
8.15, 2927, 117, 81.61, 7.70
8.20, 2929, 116, 81.63, 7.70
8.25, 2936, 115, 81.61, 7.70
8.30, 2939, 114, 81.63, 7.70
8.35, 2945, 113, 81.61, 7.70
8.40, 2947, 113, 81.63, 7.70
8.45, 2950, 112, 81.63, 7.70
8.50, 2958, 110, 81.63, 7.70
8.55, 2963, 108, 81.63, 7.70
8.60, 2970, 104, 81.63, 7.70
8.65, 2974, 101, 81.63, 7.70
8.70, 2985, 98, 81.63, 7.70
8.75, 2982, 96, 81.63, 7.70
8.80, 2988, 94, 81.63, 7.70
8.85, 2996, 93, 81.63, 7.70
8.90, 3003, 93, 81.63, 7.70
8.95, 3007, 92, 81.63, 7.70
9.00, 3016, 91, 81.63, 7.70
9.05, 3016, 90, 81.63, 7.70
9.10, 3022, 89, 81.63, 7.70
9.15, 3029, 88, 81.63, 7.70
9.20, 3032, 87, 81.63, 7.70
9.25, 3036, 87, 81.63, 7.70
9.30, 3041, 86, 81.63, 7.70
9.35, 3045, 86, 81.63, 7.70
9.40, 3051, 86, 81.63, 7.70
9.45, 3054, 86, 81.63, 7.70
9.50, 3053, 85, 81.63, 7.70
9.55, 3057, 84, 81.63, 7.70
9.60, 3062, 82, 81.64, 7.70
9.65, 3065, 81, 81.64, 7.70
9.70, 3066, 81, 81.66, 7.70
9.75, 3071, 80, 81.64, 7.70
9.80, 3074, 79, 81.64, 7.70
9.85, 3078, 78, 81.66, 7.70
9.90, 3083, 77, 81.66, 7.70
9.95, 3084, 75, 81.66, 7.70
10.00, 3089, 74, 81.66, 7.70
10.05, 3092, 73, 81.66, 7.70
10.10, 3096, 72, 81.66, 7.70
10.15, 3100, 71, 81.66, 7.70
10.20, 3102, 70, 81.68, 7.70
10.25, 3109, 69, 81.66, 7.70
10.30, 3111, 68, 81.66, 7.70
10.35, 3116, 67, 81.68, 7.70
10.40, 3121, 66, 81.66, 7.70
10.45, 3123, 65, 81.68, 7.70
10.50, 3128, 65, 81.66, 7.70
10.55, 3129, 64, 81.68, 7.70
10.60, 3132, 63, 81.68, 7.70
10.65, 3138, 62, 81.66, 7.70
10.70, 3141, 61, 81.66, 7.70
10.75, 3146, 60, 81.66, 7.70
10.80, 3147, 59, 81.68, 7.70
10.85, 3151, 58, 81.66, 7.70
10.90, 3155, 57, 81.66, 7.70
10.95, 3157, 56, 81.68, 7.70
11.00, 3160, 54, 81.70, 7.70
11.05, 3162, 53, 81.68, 7.70
11.10, 3168, 52, 81.66, 7.70
11.15, 3168, 50, 81.68, 7.70
11.20, 3171, 49, 81.70, 7.70
11.25, 3174, 48, 81.68, 7.70
11.30, 3176, 48, 81.70, 7.70
11.35, 3178, 50, 81.70, 7.70
11.40, 3180, 53, 81.70, 7.70
11.45, 3181, 55, 81.70, 7.70
11.50, 3182, 55, 81.70, 7.70
11.55, 3186, 54, 81.70, 7.70
11.60, 3186, 51, 81.70, 7.70
11.65, 3187, 48, 81.72, 7.70
11.70, 3189, 45, 81.70, 7.70
11.75, 3189, 44, 81.72, 7.70
11.80, 3192, 42, 81.70, 7.70
11.85, 3193, 41, 81.70, 7.70
11.90, 3193, 40, 81.70, 7.70
11.95, 3194, 39, 81.72, 7.70
12.00, 3196, 37, 81.72, 7.70
12.05, 3197, 34, 81.72, 7.70
12.10, 3197, 31, 81.72, 7.70
12.15, 3199, 29, 81.72, 7.70
12.20, 3200, 28, 81.72, 7.70
12.25, 3200, 29, 81.72, 7.70
12.30, 3201, 30, 81.72, 7.70
12.35, 3232, 31, 81.72, 7.70
12.40, 3239, 30, 81.72, 7.70
12.45, 3237, 28, 81.72, 7.70
12.50, 3237, 24, 81.73, 7.70
12.55, 3246, 20, 81.72, 7.70
12.60, 3220, 16, 81.72, 7.70
12.65, 3215, 14, 81.72, 7.70
12.70, 3236, 13, 81.70, 7.70
12.75, 3244, 12, 81.70, 7.70
12.80, 3221, 12, 81.73, 7.70
12.85, 3224, 12, 81.72, 7.70
12.90, 3246, 11, 81.70, 7.70
12.95, 3241, 10, 81.70, 7.70
13.00, 3221, 9, 81.73, 7.70
13.05, 3220, 8, 81.72, 7.70
13.10, 3227, 7, 81.72, 7.70
13.15, 3228, 6, 81.72, 7.70
13.20, 3224, 4, 81.72, 7.70
13.25, 3228, 2, 81.72, 7.70
13.30, 3242, -3, 81.72, 7.70
13.35, 3251, -9, 81.70, 7.70
13.40, 3246, -14, 81.70, 7.70
13.45, 3227, -16, 81.72, 7.70
13.50, 3215, -16, 81.77, 7.70
13.55, 3213, -16, 81.75, 7.70
13.60, 3213, -15, 81.75, 7.70
13.65, 3213, -15, 81.75, 7.70
13.70, 3213, -15, 81.75, 7.70
13.75, 3215, -15, 81.75, 7.70
13.80, 3217, -15, 81.75, 7.70
13.85, 3217, -15, 81.75, 7.70
13.90, 3213, -15, 81.75, 7.70
13.95, 3212, -15, 81.77, 7.70
14.00, 3215, -15, 81.77, 7.70
14.05, 3209, -16, 81.77, 7.70
14.10, 3206, -17, 81.79, 7.70
14.15, 3210, -19, 81.75, 7.70
14.20, 3217, -22, 81.75, 7.70
14.25, 3210, -26, 81.77, 7.70
14.30, 3200, -28, 81.81, 7.70
14.35, 3200, -28, 81.79, 7.70
14.40, 3203, -24, 81.79, 7.70
14.45, 3203, -18, 81.79, 7.70
14.50, 3207, -11, 81.77, 7.70
14.55, 3204, -7, 81.79, 7.70
14.60, 3199, -5, 81.79, 7.70
14.65, 3194, -6, 81.79, 7.70
14.70, 3200, -9, 81.79, 7.70
14.75, 3205, -13, 81.75, 7.70
14.80, 3204, -17, 81.77, 7.70
14.85, 3203, -19, 81.79, 7.70
14.90, 3203, -21, 81.77, 7.70
14.95, 3202, -22, 81.79, 7.70
15.00, 3198, -22, 81.79, 7.70
15.05, 3193, -23, 81.79, 7.70
15.10, 3188, -23, 81.81, 7.70
15.15, 3184, -23, 81.82, 7.70
15.20, 3182, -23, 81.81, 7.70
15.25, 3181, -22, 81.82, 7.70
15.30, 3182, -21, 81.82, 7.70
15.35, 3182, -21, 81.81, 7.70
15.40, 3189, -20, 81.79, 7.70
15.45, 3206, -19, 81.75, 7.70
15.50, 3215, -17, 81.75, 7.70
15.55, 3210, -16, 81.73, 7.70
15.60, 3203, -16, 81.75, 7.70
15.65, 3197, -18, 81.77, 7.70
15.70, 3191, -21, 81.79, 7.70
15.75, 3180, -25, 81.81, 7.70
15.80, 3173, -28, 81.82, 7.70
15.85, 3171, -30, 81.82, 7.70
15.90, 3171, -30, 81.81, 7.70
15.95, 3168, -30, 81.82, 7.70
16.00, 3167, -29, 81.82, 7.70
16.05, 3165, -27, 81.81, 7.70
16.10, 3162, -25, 81.82, 7.70
16.15, 3164, -24, 81.82, 7.70
16.20, 3170, -23, 81.81, 7.70
16.25, 3167, -23, 81.79, 7.70
16.30, 3158, -25, 81.82, 7.70
16.35, 3155, -27, 81.82, 7.70
16.40, 3165, -29, 81.79, 7.70
16.45, 3173, -32, 81.79, 7.70
16.50, 3177, -35, 81.79, 7.70
16.55, 3175, -37, 81.79, 7.70
16.60, 3168, -37, 81.79, 7.70
16.65, 3159, -36, 81.82, 7.70
16.70, 3152, -34, 81.82, 7.70
16.75, 3145, -31, 81.82, 7.70
16.80, 3143, -29, 81.82, 7.70
16.85, 3142, -28, 81.82, 7.90
16.90, 3141, -27, 81.82, 7.70
16.95, 3140, -26, 81.84, 7.70
17.00, 3141, -26, 81.82, 7.70
17.05, 3139, -26, 81.82, 7.70
17.10, 3138, -26, 81.82, 7.70
17.15, 3142, -26, 81.82, 7.70
17.20, 3141, -27, 81.82, 7.70
17.25, 3135, -28, 81.82, 7.70
17.30, 3127, -29, 81.82, 7.70
17.35, 3136, -30, 81.82, 7.70
17.40, 3146, -33, 81.81, 7.70
17.45, 3141, -35, 81.82, 7.70
17.50, 3134, -37, 81.82, 7.70
17.55, 3126, -37, 81.82, 7.70
17.60, 3122, -36, 81.82, 7.70
17.65, 3122, -33, 81.84, 7.70
17.70, 3121, -31, 81.82, 7.70
17.75, 3122, -29, 81.82, 7.70
17.80, 3118, -29, 81.84, 7.70
17.85, 3119, -29, 81.82, 7.70
17.90, 3117, -29, 81.84, 7.70
17.95, 3115, -30, 81.84, 7.70
18.00, 3117, -30, 81.82, 7.70
18.05, 3114, -31, 81.84, 7.90
18.10, 3115, -32, 81.82, 7.70
18.15, 3113, -32, 81.84, 7.70
18.20, 3110, -32, 81.84, 7.70
18.25, 3107, -32, 81.82, 7.70
18.30, 3104, -32, 81.84, 7.70
18.35, 3101, -33, 81.84, 7.70
18.40, 3101, -33, 81.84, 7.70
18.45, 3097, -33, 81.86, 7.70
18.50, 3096, -32, 81.88, 7.70
18.55, 3097, -31, 81.86, 7.70
18.60, 3097, -29, 81.86, 7.70
18.65, 3093, -27, 81.86, 7.70
18.70, 3090, -25, 81.88, 7.70
18.75, 3090, -23, 81.88, 7.70
18.80, 3086, -21, 81.88, 7.70
18.85, 3085, -19, 81.88, 7.70
18.90, 3082, -17, 81.88, 7.70
18.95, 3081, -16, 81.88, 7.70
19.00, 3079, -16, 81.88, 7.70
19.05, 3077, -16, 81.88, 7.70
19.10, 3079, -17, 81.88, 7.70
19.15, 3074, -18, 81.90, 7.70
19.20, 3073, -19, 81.88, 7.70
19.25, 3074, -20, 81.84, 8.00
19.30, 3074, -21, 81.88, 7.70
19.35, 3073, -22, 81.90, 7.70
19.40, 3071, -23, 81.88, 7.70
19.45, 3069, -23, 81.90, 7.70
19.50, 3069, -24, 81.90, 7.70
19.55, 3069, -25, 81.88, 7.70
19.60, 3067, -25, 81.90, 7.70
19.65, 3071, -26, 81.88, 7.70
19.70, 3073, -26, 81.88, 7.70
19.75, 3081, -26, 81.86, 7.70
19.80, 3084, -25, 81.84, 7.70
19.85, 3085, -24, 81.86, 7.70
19.90, 3085, -23, 81.86, 7.70
19.95, 3085, -22, 81.84, 7.70
20.00, 3085, -22, 81.84, 7.70
20.05, 3083, -21, 81.84, 7.70
20.10, 3078, -22, 81.84, 7.70
20.15, 3073, -22, 81.84, 7.70
20.20, 3068, -23, 81.86, 7.70
20.25, 3061, -23, 81.88, 7.70
20.30, 3058, -24, 81.88, 7.70
20.35, 3055, -25, 81.86, 7.70
20.40, 3052, -26, 81.88, 7.70
20.45, 3054, -27, 81.84, 8.00
20.50, 3049, -28, 81.88, 7.70
20.55, 3044, -28, 81.86, 7.70
20.60, 3042, -29, 81.88, 7.70
20.65, 3040, -31, 81.88, 7.70
20.70, 3036, -33, 81.88, 7.70
20.75, 3037, -35, 81.88, 7.70
20.80, 3036, -37, 81.86, 7.70
20.85, 3037, -39, 81.88, 7.70
20.90, 3038, -40, 81.88, 7.70
20.95, 3039, -40, 81.86, 7.70
21.00, 3038, -40, 81.88, 7.70
21.05, 3035, -40, 81.86, 7.70
21.10, 3032, -38, 81.88, 7.70
21.15, 3031, -37, 81.88, 7.70
21.20, 3029, -35, 81.88, 7.70
21.25, 3026, -34, 81.88, 7.70
21.30, 3023, -33, 81.88, 7.70
21.35, 3020, -32, 81.88, 7.70
21.40, 3015, -31, 81.91, 7.70
21.45, 3014, -31, 81.91, 7.70
21.50, 3013, -30, 81.90, 7.70
21.55, 3012, -28, 81.91, 7.70
21.60, 3012, -26, 81.91, 7.70
21.65, 3016, -24, 81.84, 8.00
21.70, 3009, -22, 81.91, 7.70
21.75, 3007, -21, 81.90, 7.70
21.80, 3007, -20, 81.91, 7.70
21.85, 3007, -20, 81.91, 7.70
21.90, 3006, -20, 81.91, 7.70
21.95, 3004, -20, 81.91, 7.70
22.00, 3004, -21, 81.91, 7.70
22.05, 3003, -22, 81.90, 7.70
22.10, 3000, -22, 81.90, 7.70
22.15, 2999, -23, 81.90, 7.70
22.20, 2997, -25, 81.90, 7.70
22.25, 2996, -25, 81.91, 7.70
22.30, 2994, -25, 81.91, 7.70
22.35, 2991, -24, 81.91, 7.70
22.40, 2990, -21, 81.91, 7.70
22.45, 2990, -19, 81.91, 7.70
22.50, 2991, -18, 81.91, 7.70
22.55, 2990, -18, 81.91, 7.70
22.60, 2992, -19, 81.91, 7.70
22.65, 2995, -21, 81.90, 7.70
22.70, 2996, -22, 81.91, 7.70
22.75, 2998, -24, 81.90, 7.70
22.80, 3000, -25, 81.88, 7.70
22.85, 3005, -25, 81.84, 8.40
22.90, 2997, -26, 81.88, 7.70
22.95, 2995, -26, 81.91, 7.70
23.00, 2993, -25, 81.90, 7.70
23.05, 2991, -23, 81.88, 7.70
23.10, 2985, -22, 81.91, 7.70
23.15, 2982, -21, 81.91, 7.70
23.20, 2974, -20, 81.91, 7.70
23.25, 2969, -19, 81.91, 7.70
23.30, 2968, -18, 81.91, 7.70
23.35, 2971, -18, 81.91, 7.70
23.40, 2984, -16, 81.88, 7.70
23.45, 2986, -15, 81.88, 7.70
23.50, 2981, -15, 81.90, 7.70
23.55, 2974, -16, 81.91, 7.70
23.60, 2969, -18, 81.91, 7.70
23.65, 2968, -21, 81.91, 7.70
23.70, 2961, -23, 81.91, 7.70
23.75, 2957, -25, 81.91, 7.70
23.80, 2957, -25, 81.91, 7.70
23.85, 2954, -25, 81.91, 7.70
23.90, 2952, -23, 81.91, 7.70
23.95, 2954, -21, 81.91, 7.70
24.00, 2955, -18, 81.90, 7.70
24.05, 2963, -17, 81.86, 7.90
24.10, 2959, -16, 81.90, 7.70
24.15, 2959, -16, 81.88, 7.70
24.20, 2959, -16, 81.88, 7.70
24.25, 2957, -18, 81.88, 7.70
24.30, 2954, -20, 81.88, 7.70
24.35, 2958, -22, 81.90, 7.70
24.40, 2963, -25, 81.90, 7.70
24.45, 2965, -28, 81.86, 7.70
24.50, 2963, -29, 81.88, 7.70
24.55, 2957, -29, 81.88, 7.70
24.60, 2951, -28, 81.88, 7.70
24.65, 2948, -27, 81.91, 7.70
24.70, 2949, -25, 81.90, 7.70
24.75, 2950, -23, 81.91, 7.70
24.80, 2950, -23, 81.88, 7.70
24.85, 2952, -24, 81.88, 7.70
24.90, 2954, -26, 81.88, 7.70
24.95, 2959, -28, 81.88, 7.70
25.00, 2960, -30, 81.88, 7.70
25.05, 2960, -31, 81.88, 7.70
25.10, 2955, -31, 81.90, 7.70
25.15, 2941, -30, 81.91, 7.70
25.20, 2930, -29, 81.91, 7.70
25.25, 2938, -29, 81.88, 7.90
25.30, 2933, -30, 81.91, 7.70
25.35, 2930, -31, 81.91, 7.70
25.40, 2927, -32, 81.91, 7.70
25.45, 2920, -33, 81.91, 7.70
25.50, 2914, -33, 81.93, 7.70
25.55, 2913, -33, 81.93, 7.70
25.60, 2913, -31, 81.91, 7.70
25.65, 2915, -29, 81.93, 7.70
25.70, 2916, -28, 81.91, 7.70
25.75, 2915, -27, 81.93, 7.70
25.80, 2910, -28, 81.91, 7.70
25.85, 2903, -30, 81.93, 7.70
25.90, 2901, -33, 81.93, 7.70
25.95, 2896, -36, 81.93, 7.70
26.00, 2896, -38, 81.93, 7.70
26.05, 2896, -39, 81.93, 7.70
26.10, 2901, -38, 81.93, 7.70
26.15, 2903, -37, 81.91, 7.70
26.20, 2903, -36, 81.93, 7.70
26.25, 2902, -35, 81.93, 7.70
26.30, 2899, -34, 81.93, 7.70
26.35, 2896, -33, 81.93, 7.70
26.40, 2895, -31, 81.93, 7.70
26.45, 2899, -29, 81.91, 8.00
26.50, 2888, -27, 81.93, 7.70
26.55, 2889, -25, 81.95, 7.70
26.60, 2895, -25, 81.93, 7.70
26.65, 2898, -25, 81.93, 7.70
26.70, 2900, -25, 81.91, 7.70
26.75, 2900, -25, 81.91, 7.70
26.80, 2897, -25, 81.93, 7.70
26.85, 2891, -24, 81.91, 7.70
26.90, 2885, -24, 81.93, 7.70
26.95, 2880, -23, 81.97, 7.70
27.00, 2878, -24, 81.97, 7.70
27.05, 2874, -26, 81.97, 7.70
27.10, 2874, -28, 81.93, 7.70
27.15, 2868, -30, 81.97, 7.70
27.20, 2866, -31, 81.97, 7.70
27.25, 2865, -31, 81.97, 7.70
27.30, 2862, -30, 81.97, 7.70
27.35, 2863, -28, 81.97, 7.70
27.40, 2864, -26, 81.97, 7.70
27.45, 2865, -25, 81.95, 7.70
27.50, 2867, -25, 81.97, 7.70
27.55, 2865, -26, 81.99, 7.70
27.60, 2865, -28, 81.97, 7.70
27.65, 2872, -31, 81.91, 7.70
27.70, 2862, -33, 81.97, 7.70
27.75, 2859, -35, 81.97, 7.70
27.80, 2858, -34, 81.97, 7.70
27.85, 2856, -32, 81.97, 7.70
27.90, 2854, -28, 81.99, 7.70
27.95, 2851, -25, 81.97, 7.70
28.00, 2847, -23, 82.00, 7.70
28.05, 2846, -21, 82.00, 7.70
28.10, 2841, -20, 82.00, 7.70
28.15, 2835, -19, 82.00, 7.70
28.20, 2837, -20, 82.00, 7.70
28.25, 2840, -22, 82.00, 7.70
28.30, 2844, -24, 82.00, 7.70
28.35, 2845, -26, 81.99, 7.70
28.40, 2848, -27, 81.99, 7.70
28.45, 2847, -28, 81.99, 7.70
28.50, 2846, -28, 81.97, 7.70
28.55, 2842, -27, 81.99, 7.70
28.60, 2837, -26, 81.99, 7.70
28.65, 2831, -24, 82.00, 7.70
28.70, 2825, -24, 82.00, 7.70
28.75, 2824, -24, 82.00, 7.70
28.80, 2825, -26, 82.00, 7.70
28.85, 2836, -27, 81.93, 7.70
28.90, 2831, -28, 82.00, 7.70
28.95, 2835, -28, 81.99, 7.70
29.00, 2836, -27, 81.99, 7.70
29.05, 2836, -27, 81.99, 7.70
29.10, 2836, -26, 81.97, 7.70
29.15, 2831, -27, 81.97, 7.70
29.20, 2820, -27, 82.00, 7.70
29.25, 2810, -28, 82.00, 7.70
29.30, 2814, -29, 82.00, 7.70
29.35, 2816, -29, 81.99, 7.70
29.40, 2808, -29, 81.99, 7.70
29.45, 2802, -28, 81.99, 7.70
29.50, 2808, -26, 81.97, 7.70
29.55, 2821, -24, 81.93, 7.70
29.60, 2827, -23, 81.95, 7.70
29.65, 2821, -22, 81.93, 7.70
29.70, 2813, -23, 81.95, 7.70
29.75, 2806, -25, 81.97, 7.70
29.80, 2803, -28, 81.97, 7.70
29.85, 2798, -31, 81.97, 7.70
29.90, 2796, -33, 81.97, 7.70
29.95, 2794, -36, 81.97, 7.70
30.00, 2791, -37, 81.97, 7.70
30.05, 2793, -37, 81.93, 7.70
30.10, 2786, -36, 81.97, 7.70
30.15, 2785, -33, 81.97, 7.70
30.20, 2783, -31, 81.97, 7.70
30.25, 2784, -30, 81.97, 7.70
30.30, 2787, -29, 81.95, 7.70
30.35, 2789, -30, 81.95, 7.70
30.40, 2791, -30, 81.95, 7.70
30.45, 2794, -31, 81.93, 7.70
30.50, 2795, -33, 81.93, 7.70
30.55, 2794, -34, 81.93, 7.70
30.60, 2792, -34, 81.93, 7.70
30.65, 2785, -33, 81.93, 7.70
30.70, 2778, -31, 81.97, 7.70
30.75, 2774, -29, 81.97, 7.70
30.80, 2770, -28, 81.99, 7.70
30.85, 2767, -28, 81.97, 7.70
30.90, 2764, -28, 81.99, 7.70
30.95, 2761, -29, 82.00, 7.70
31.00, 2762, -29, 81.99, 7.70
31.05, 2760, -29, 81.99, 7.70
31.10, 2763, -29, 81.97, 7.70
31.15, 2765, -29, 81.97, 7.70
31.20, 2762, -29, 81.97, 7.70
31.25, 2757, -30, 81.95, 7.70
31.30, 2751, -31, 81.99, 7.70
31.35, 2749, -33, 81.99, 7.70
31.40, 2749, -34, 81.99, 7.70
31.45, 2748, -36, 82.00, 7.70
31.50, 2747, -36, 82.00, 7.70
31.55, 2753, -36, 81.99, 7.70
31.60, 2757, -36, 81.97, 7.70
31.65, 2755, -34, 81.99, 7.70
31.70, 2752, -33, 81.97, 7.70
31.75, 2749, -31, 81.99, 7.70
31.80, 2746, -30, 81.99, 7.70
31.85, 2742, -29, 82.00, 7.70
31.90, 2738, -28, 81.99, 7.70
31.95, 2732, -27, 82.00, 7.70
32.00, 2733, -27, 81.97, 7.70
32.05, 2732, -27, 81.97, 7.70
32.10, 2730, -27, 81.99, 7.70
32.15, 2730, -27, 81.97, 7.70
32.20, 2728, -26, 81.97, 7.70
32.25, 2726, -25, 81.99, 7.70
32.30, 2724, -25, 81.99, 7.70
32.35, 2724, -24, 81.97, 7.70
32.40, 2723, -24, 81.97, 7.70
32.45, 2723, -25, 81.97, 7.70
32.50, 2721, -27, 81.97, 7.70
32.55, 2720, -29, 81.97, 7.70
32.60, 2717, -31, 81.97, 7.70
32.65, 2716, -32, 81.97, 7.70
32.70, 2714, -31, 81.97, 7.70
32.75, 2711, -28, 81.97, 7.70
32.80, 2709, -24, 81.97, 7.70
32.85, 2710, -21, 81.97, 7.70
32.90, 2709, -18, 81.97, 7.70
32.95, 2710, -17, 81.97, 7.70
33.00, 2709, -18, 81.95, 7.70
33.05, 2710, -20, 81.97, 7.70
33.10, 2709, -22, 81.97, 7.70
33.15, 2710, -24, 81.97, 7.70
33.20, 2707, -26, 81.97, 7.70
